PB-Campina_Grande;-7.2310;-35.8810;20.58844;min
PB-João_Pessoa;-7.1150;-34.8630;31.083618;max
PB-João_Pessoa;-7.1150;-34.8630;23.808441;min
PB-Patos;-7.0240;-37.2800;32.630432;max
PB-Patos;-7.0240;-37.2800;21.562439;min
PE-Garanhuns;-8.8900;-36.4930;33.136566;max
PE-Garanhuns;-8.8900;-36.4930;20.376434;min
PE-Petrolina;-9.3990;-40.5010;34.212433;max
PE-Petrolina;-9.3990;-40.5010;24.312439;min
PE-Recife;-8.0540;-34.9;31.256622;max
PE-Recife;-8.0540;-34.9;26.556458;min
PI-Teresina;-5.0890;-42.8020;32.339447;max
PI-Teresina;-5.0890;-42.8020;22.236633;min
PR-Campo_Mourão;-24.0460;-52.3830;29.564514;max
PR-Campo_Mourão;-24.0460;-52.3830;19.240631;min
PR-Curitiba;-25.4280;-49.2730;22.41156;max
PR-Curitiba;-25.4280;-49.2730;15.688629;min
PR-Foz_do_Iguaçu;-25.5480;-54.5880;27.246124;max
PR-Foz_do_Iguaçu;-25.5480;-54.5880;22.770508;min
PR-Ivaí;-25.0110;-50.8590;25.67157;max
PR-Ivaí;-25.0110;-50.8590;16.803497;min
PR-Londrina;-23.3100;-51.1630;29.971436;max
PR-Londrina;-23.3100;-51.1630;19.557617;min
PR-Paranaguá;-25.5200;-48.5090;27.539642;max
PR-Paranaguá;-25.5200;-48.5090;19.769867;min
RJ-Campos_dos_Goytacazes;-21.7540;-41.3240;29.527191;max
RJ-Campos_dos_Goytacazes;-21.7540;-41.3240;20.444458;min
RJ-Cordeiro;-22.0290;-42.3610;28.560577;max
RJ-Cordeiro;-22.0290;-42.3610;18.186432;min
RJ-Paraty;-23.2180;-44.7130;24.543579;max
RJ-Paraty;-23.2180;-44.7130;16.01944;min
RJ-Resende;-22.4690;-44.4470;24.706512;max
RJ-Resende;-22.4690;-44.4470;14.690887;min
RJ-Rio_de_Janeiro;-22.9030;-43.2080;29.667206;max
RJ-Rio_de_Janeiro;-22.9030;-43.2080;23.102448;min
RJ-São_Pedro_da_Aldeia;-22.8390;-42.1030;26.544617;max
RJ-São_Pedro_da_Aldeia;-22.8390;-42.1030;19.183441;min
RN-Cruzeta;-6.4120;-36.7900;35.948517;max
RN-Cruzeta;-6.4120;-36.7900;23.464447;min
RN-Mossoró;-5.1880;-37.3440;32.890198;max
RN-Mossoró;-5.1880;-37.3440;24.221436;min
RN-Natal;-5.7950;-35.2090;31.077179;max
RN-Natal;-5.7950;-35.2090;26.866455;min
RO-Porto_Velho;-8.7620;-63.9040;32.539124;max
RO-Porto_Velho;-8.7620;-63.9040;23.710327;min
RO-Vilhena;-12.7410;-60.1460;29.92157;max
RO-Vilhena;-12.7410;-60.1460;22.330627;min
RR-Boa_Vista;2.8200;-60.75;35.982391;max
RR-Boa_Vista;2.8200;-60.75;25.904327;min
RS-Bagé;-31.3310;-54.1070;30.205505;max
RS-Bagé;-31.3310;-54.1070;21.027618;min
RS-Bom_Jesus;-28.6680;-50.4170;18.525635;max
RS-Bom_Jesus;-28.6680;-50.4170;14.792694;min
RS-Passo_Fundo;-28.2630;-52.4070;21.262329;max
RS-Passo_Fundo;-28.2630;-52.4070;15.612518;min
